"Stec ID","Trace ID"
"130819","P,T"
"130820","P,T"
"130821","P,T"
"130822","P,T"
"130839","P,T"
"130863","P,T"
"130864","P,T"
"130885","P,T"
"130899","P,T"
"130900","P,T"
"130943","P,T"
"130979","P,T"
"130980","P,T"
"131119","P,T"
"131120","P,T"
"131121","P,T"
"131122","P,T"
"131123","P,T"
"131124","P,T"
"131125","P,T"
"131126","P,T"
"131219","P,T"
"131661","P,T"
"131662","P,T"
"131663","P,T"
"131664","P,T"
"131739","P,T"
"131740","P,T"
"131839","P,T"
"131921","P,T"
"131922","P,T"
"131939","P,T"
"132214","P,T"
"132320","P,T"
"132321","P,T"
"132322","P,T"
"133100","P,T"
"133101","P,T"
"133102","P,T"
"130823","P,T"
"130824","P,T"
"130825","P,T"
"130826","P,T"
"130827","P,T"
"130828","P,T"
"130829","P,T"
"130830","P,T"
"130840","P,T"
"130841","P,T"
"130842","P,T"
"130901","P,T"
"130902","P,T"
"130903","P,T"
"130904","P,T"
"130906","P,T"
"130919","P,T"
"130920","P,T"
"130921","P,T"
"130922","P,T"
"130959","P,T"
"130960","P,T"
"130961","P,T"
"130962","P,T"
"130963","P,T"
"131140","P,T"
"131159","P,T"
"131160","P,T"
"131161","P,T"
"131279","P,T"
"131619","P,T"
"131620","P,T"
"131621","P,T"
"131679","P,T"
"131745","P,T"
"131940","P,T"
"131999","P,T"
"132000","P,T"
"132001","P,T"
"132158","P,T"
"132159","P,T"
"132215","P,T"
"132323","P,T"
"132380","P,T"
"132381","P,T"
"132427","P,T"
"132428","P,T"
"133058","P,T"
"133059","P,T"
"133060","P,T"
"133103","P,T"
"133104","P,T"
"133105","P,T"
"133106","P,T"
"133107","P,T"
"133263","P,T"
"133805","P,T"
"131179","P,T"
"131199","P,T"
"131200","P,T"
"131359","P,T"
"131379","P,T"
"131380","P,T"
"131381","P,T"
"131559","P,T"
"131665","P,T"
"131666","P,T"
"131680","P,T"
"131840","P,T"
"131941","P,T"
"131942","P,T"
"132099","P,T"
"132100","P,T"
"132160","P,T"
"132161","P,T"
"132382","P,T"
"132383","P,T"
"132384","P,T"
"132389","P,T"
"132415","P,T"
"133108","P,T"
"133109","P,T"
"133110","P,T"
"133111","P,T"
"133112","P,T"
"133227","P,T"
"133228","P,T"
"133265","P,T"
"131299","P,T"
"131419","P,T"
"131420","P,T"
"131421","P,T"
"131422","P,T"
"131423","P,T"
"131439","P,T"
"131440","P,T"
"131441","P,T"
"131639","P,T"
"131640","P,T"
"131641","P,T"
"131642","P,T"
"131667","P,T"
"131668","P,T"
"131726","P,T"
"131746","P,T"
"131747","P,T"
"131753","P,T"
"131759","P,T"
"131779","P,T"
"131780","P,T"
"131781","P,T"
"131841","P,T"
"131842","P,T"
"131943","P,T"
"131944","P,T"
"132004","P,T"
"132005","P,T"
"132006","P,T"
"132162","P,T"
"132324","P,T"
"132325","P,T"
"132326","P,T"
"132327","P,T"
"133113","P,T"
"133114","P,T"
"133115","P,T"
"133116","P,T"
"133117","P,T"
"133118","P,T"
"133119","P,T"
"133120","P,T"
"133121","P,T"
"133229","P,T"
"131459","P,T"
"131460","P,T"
"131461","P,T"
"131462","P,T"
"131782","P,T"
"131783","P,T"
"131784","P,T"
"131785","P,T"
"131786","P,T"
"131787","P,T"
"131788","P,T"
"131799","P,T"
"131800","P,T"
"131859","P,T"
"131860","P,T"
"131863","P,T"
"131864","P,T"
"131865","P,T"
"131866","P,T"
"131879","P,T"
"131880","P,T"
"131881","P,T"
"131882","P,T"
"131883","P,T"
"131884","P,T"
"131885","P,T"
"131886","P,T"
"131945","P,T"
"131946","P,T"
"132151","P,T"
"132152","P,T"
"132155","P,T"
"132207","P,T"
"132342","P,T"
"132343","P,T"
"132344","P,T"
