"Stec ID","Activity","Start datetime","Destination","Status","Activity instance"," order","Throughput time case","Processing time case"
"129555","Production",2021-01-14,"Others","Start","183",183,0,0
"129556","Production",2021-01-14,"Others","Start","184",184,0,0
"129557","Production",2021-01-15,"Others","Start","185",185,0,0
"129558","Production",2021-01-15,"Others","Start","186",186,0,0
"129559","Production",2021-01-11,"USA","Start","187",187,2,0
"129560","Production",2021-01-11,"USA","Start","188",188,2,0
"129561","Production",2021-01-13,"USA","Start","189",189,2,0
"129562","Production",2021-01-14,"USA","Start","190",190,2,0
"129563","Production",2021-01-14,"USA","Start","191",191,2,0
"129564","Production",2021-01-14,"USA","Start","192",192,2,0
"129565","Production",2021-01-14,"USA","Start","193",193,2,0
"129566","Production",2021-01-15,"USA","Start","194",194,2,0
"129567","Production",2021-01-15,"USA","Start","195",195,2,0
"129568","Production",2021-01-15,"USA","Start","196",196,2,0
"129570","Production",2021-01-14,"Others","Start","197",197,1,0
"129571","Production",2021-01-14,"Others","Start","198",198,1,0
"129572","Production",2021-01-13,"Others","Start","199",199,1,0
"129573","Production",2021-01-12,"Others","Start","200",200,2,0
"129574","Production",2021-01-12,"Others","Start","201",201,2,0
"129575","Production",2021-01-18,"Others","Start","202",202,1,0
"129576","Production",2021-01-18,"Others","Start","203",203,1,0
"129578","Production",2021-01-18,"Others","Start","204",204,1,0
"129579","Production",2021-01-18,"Others","Start","205",205,1,0
"129587","Production",2021-01-18,"USA","Start","206",206,0,0
"129588","Production",2021-01-18,"USA","Start","207",207,0,0
"129589","Production",2021-01-18,"USA","Start","208",208,0,0
"129590","Production",2021-01-19,"Others","Start","209",209,2,0
"129591","Production",2021-01-19,"Others","Start","210",210,2,0
"129595","Production",2021-01-14,"Others","Start","211",211,2,0
"129599","Production",2021-01-04,"USA","Start","212",212,0,0
"129600","Production",2021-01-05,"USA","Start","213",213,0,0
"129601","Production",2021-01-05,"USA","Start","214",214,0,0
"129602","Production",2021-01-05,"USA","Start","215",215,0,0
"129603","Production",2021-01-05,"USA","Start","216",216,0,0
"129604","Production",2021-01-06,"USA","Start","217",217,0,0
"129605","Production",2021-01-06,"USA","Start","218",218,0,0
"129610","Production",2021-01-18,"USA","Start","219",219,2,0
"129618","Production",2021-01-18,"Others","Start","220",220,0,0
"129619","Production",2021-01-18,"Others","Start","221",221,0,0
"129620","Production",2021-01-18,"USA","Start","222",222,0,0
"129621","Production",2021-01-18,"USA","Start","223",223,0,0
"129622","Production",2021-01-19,"USA","Start","224",224,0,0
"129623","Production",2021-01-19,"USA","Start","225",225,0,0
"129627","Production",2021-01-04,"USA","Start","226",226,0,0
"129628","Production",2021-01-18,"USA","Start","227",227,1,0
"129629","Production",2021-01-19,"USA","Start","228",228,0,0
"129630","Production",2021-01-05,"USA","Start","229",229,0,0
"129631","Production",2021-01-05,"USA","Start","230",230,0,0
"129632","Production",2021-01-05,"USA","Start","231",231,0,0
"129633","Production",2021-01-05,"USA","Start","232",232,0,0
"129635","Production",2021-01-06,"USA","Start","233",233,0,0
"129638","Production",2021-01-14,"USA","Start","234",234,0,0
"129639","Production",2021-01-18,"Others","Start","235",235,0,0
"129640","Production",2021-01-18,"Others","Start","236",236,0,0
"129641","Production",2021-01-18,"Others","Start","237",237,0,0
"129642","Production",2021-01-18,"Others","Start","238",238,2,0
"129643","Production",2021-01-19,"Others","Start","239",239,1,0
"129644","Production",2021-01-19,"Others","Start","240",240,0,0
"129645","Production",2021-01-19,"Others","Start","241",241,0,0
"129646","Production",2021-01-19,"Others","Start","242",242,0,0
"129647","Production",2021-01-19,"Others","Start","243",243,0,0
"129648","Production",2021-01-19,"Others","Start","244",244,0,0
"129649","Production",2021-01-19,"Others","Start","245",245,0,0
"129650","Production",2021-01-19,"Others","Start","246",246,0,0
"129651","Production",2021-01-19,"Others","Start","247",247,0,0
"129652","Production",2021-01-19,"Others","Start","248",248,0,0
"129653","Production",2021-01-19,"Others","Start","249",249,0,0
"129654","Production",2021-01-19,"Others","Start","250",250,0,0
"129655","Production",2021-01-19,"Others","Start","251",251,0,0
"129656","Production",2021-01-19,"USA","Start","252",252,0,0
"129658","Production",2021-01-07,"Canada","Start","253",253,0,0
"129659","Production",2021-01-18,"USA","Start","254",254,1,0
"129660","Production",2021-01-08,"Canada","Start","255",255,3,0
"129661","Production",2021-01-11,"Canada","Start","256",256,0,0
"129665","Production",2021-01-20,"Others","Start","257",257,1,0
"129666","Production",2021-01-18,"Others","Start","258",258,0,0
"129667","Production",2021-01-18,"Others","Start","259",259,0,0
"129668","Production",2021-01-18,"Others","Start","260",260,2,0
"129669","Production",2021-01-19,"Others","Start","261",261,0,0
"129670","Production",2021-01-18,"USA","Start","262",262,2,0
"129671","Production",2021-01-18,"Others","Start","263",263,2,0
"129672","Production",2021-01-19,"USA","Start","264",264,2,0
"129677","Production",2021-01-20,"Others","Start","265",265,1,0
"129678","Production",2021-01-19,"Others","Start","266",266,1,0
"129679","Production",2021-01-19,"Others","Start","267",267,1,0
"129680","Production",2021-01-20,"USA","Start","268",268,0,0
"129681","Production",2021-01-20,"USA","Start","269",269,0,0
"129682","Production",2021-01-20,"USA","Start","270",270,0,0
"129683","Production",2021-01-20,"USA","Start","271",271,0,0
"129684","Production",2021-01-04,"Others","Start","272",272,1,0
"129685","Production",2021-01-05,"Others","Start","273",273,1,0
"129686","Production",2021-01-07,"Others","Start","274",274,1,0
"129687","Production",2021-01-07,"Others","Start","275",275,1,0
"129688","Production",2021-01-07,"USA","Start","276",276,1,0
"129689","Production",2021-01-08,"Others","Start","277",277,3,0
"129690","Production",2021-01-08,"Others","Start","278",278,3,0
"129691","Production",2021-01-12,"Others","Start","279",279,1,0
"129692","Production",2021-01-13,"Others","Start","280",280,1,0
"129693","Production",2021-01-14,"Others","Start","281",281,1,0
"129694","Production",2021-01-14,"Others","Start","282",282,1,0
"129695","Production",2021-01-18,"Others","Start","283",283,1,0
"129696","Production",2021-01-18,"USA","Start","284",284,1,0
"129697","Production",2021-01-18,"USA","Start","285",285,1,0
"129699","Production",2021-01-20,"USA","Start","286",286,2,0
"129700","Production",2021-01-12,"USA","Start","287",287,2,0
"129701","Production",2021-01-21,"USA","Start","288",288,0,0
"129702","Production",2021-01-21,"USA","Start","289",289,0,0
"129703","Production",2021-01-21,"Others","Start","290",290,1,0
"129704","Production",2021-01-21,"Others","Start","291",291,1,0
"129705","Production",2021-01-21,"Others","Start","292",292,1,0
"129706","Production",2021-01-21,"Others","Start","293",293,1,0
"129707","Production",2021-01-21,"Others","Start","294",294,1,0
"129708","Production",2021-01-21,"Others","Start","295",295,1,0
"129709","Production",2021-01-14,"USA","Start","296",296,5,0
"129710","Production",2021-01-18,"USA","Start","297",297,3,0
"129711","Production",2021-01-21,"USA","Start","298",298,0,0
"129712","Production",2021-01-21,"USA","Start","299",299,0,0
"129713","Production",2021-01-21,"Others","Start","300",300,0,0
"129714","Production",2021-01-21,"Others","Start","301",301,0,0
"129715","Production",2021-01-22,"USA","Start","302",302,0,0
"129719","Production",2021-01-20,"Others","Start","303",303,0,0
"129720","Production",2021-01-22,"Canada","Start","304",304,0,0
"129721","Production",2021-01-22,"Canada","Start","305",305,0,0
"129722","Production",2021-01-22,"USA","Start","306",306,0,0
"129723","Production",2021-01-21,"Others","Start","307",307,1,0
"129724","Production",2021-01-22,"USA","Start","308",308,0,0
"129725","Production",2021-01-22,"USA","Start","309",309,0,0
"129726","Production",2021-01-18,"Others","Start","310",310,0,0
"129727","Production",2021-01-18,"Others","Start","311",311,0,0
"129728","Production",2021-01-19,"USA","Start","312",312,0,0
"129729","Production",2021-01-19,"Others","Start","313",313,0,0
"129730","Production",2021-01-19,"Others","Start","314",314,0,0
"129731","Production",2021-01-21,"Others","Start","315",315,0,0
"129732","Production",2021-01-19,"Others","Start","316",316,0,0
"129733","Production",2021-01-20,"Others","Start","317",317,0,0
"129735","Production",2021-01-21,"Others","Start","318",318,0,0
"129736","Production",2021-01-22,"Others","Start","319",319,0,0
"129737","Production",2021-01-25,"Others","Start","320",320,1,0
"129738","Production",2021-01-25,"Others","Start","321",321,1,0
"129739","Production",2021-01-25,"Others","Start","322",322,1,0
"129740","Production",2021-01-21,"Others","Start","323",323,0,0
"129745","Production",2021-01-19,"Others","Start","324",324,2,0
"129746","Production",2021-01-19,"Others","Start","325",325,2,0
"129747","Production",2021-01-25,"USA","Start","326",326,0,0
"129749","Production",2021-01-27,"Others","Start","327",327,31,0
"129753","Production",2021-01-27,"Others","Start","328",328,3,0
"129754","Production",2021-01-18,"USA","Start","329",329,0,0
"129755","Production",2021-01-18,"USA","Start","330",330,0,0
"129756","Production",2021-01-19,"USA","Start","331",331,0,0
"129757","Production",2021-01-20,"USA","Start","332",332,0,0
"129758","Production",2021-01-20,"USA","Start","333",333,0,0
"129759","Production",2021-01-20,"USA","Start","334",334,0,0
"129760","Production",2021-01-21,"USA","Start","335",335,0,0
"129761","Production",2021-01-21,"USA","Start","336",336,0,0
"129768","Production",2021-01-27,"Others","Start","337",337,1,0
"129769","Production",2021-01-27,"Others","Start","338",338,1,0
"129770","Production",2021-01-27,"USA","Start","339",339,0,0
"129771","Production",2021-01-27,"USA","Start","340",340,0,0
"129772","Production",2021-01-27,"USA","Start","341",341,0,0
"129773","Production",2021-01-27,"USA","Start","342",342,0,0
"129774","Production",2021-01-27,"USA","Start","343",343,0,0
"129775","Production",2021-01-22,"Others","Start","344",344,6,0
"129776","Production",2021-01-22,"Others","Start","345",345,6,0
"129777","Production",2021-01-22,"Others","Start","346",346,6,0
"129778","Production",2021-01-22,"Others","Start","347",347,6,0
"129779","Production",2021-01-27,"Others","Start","348",348,1,0
"129780","Production",2021-01-27,"Others","Start","349",349,1,0
"129799","Production",2021-01-27,"USA","Start","350",350,1,0
"129819","Production",2021-01-27,"Others","Start","351",351,2,0
"129820","Production",2021-01-27,"Others","Start","352",352,2,0
"129839","Production",2021-01-28,"Others","Start","353",353,7,0
"129840","Production",2021-01-20,"USA","Start","354",354,2,0
"129841","Production",2021-01-20,"USA","Start","355",355,2,0
"129842","Production",2021-01-20,"USA","Start","356",356,2,0
"129843","Production",2021-01-22,"USA","Start","357",357,2,0
"129844","Production",2021-01-25,"Others","Start","358",358,1,0
"129845","Production",2021-01-25,"Others","Start","359",359,1,0
"129846","Production",2021-01-25,"USA","Start","360",360,1,0
"129859","Production",2021-01-25,"USA","Start","361",361,1,0
"129860","Production",2021-01-25,"USA","Start","362",362,1,0
"129861","Production",2021-01-25,"USA","Start","363",363,1,0
"129862","Production",2021-01-27,"USA","Start","364",364,2,0
"129879","Production",2021-01-14,"USA","Start","365",365,0,0
"129880","Production",2021-01-14,"USA","Start","366",366,0,0
"129881","Production",2021-01-14,"USA","Start","367",367,0,0
"129882","Production",2021-01-28,"Others","Start","368",368,1,0
"129883","Production",2021-01-28,"Others","Start","369",369,1,0
"129884","Production",2021-01-18,"USA","Start","370",370,0,0
"129885","Production",2021-01-18,"USA","Start","371",371,0,0
"129886","Production",2021-01-19,"USA","Start","372",372,0,0
"129887","Production",2021-01-28,"Others","Start","373",373,1,0
"129899","Production",2021-01-21,"USA","Start","374",374,0,0
"129900","Production",2021-01-21,"USA","Start","375",375,0,0
"129901","Production",2021-01-27,"USA","Start","376",376,0,0
"129919","Production",2021-01-27,"USA","Start","377",377,0,0
"129920","Production",2021-01-27,"USA","Start","378",378,0,0
"129921","Production",2021-01-28,"USA","Start","379",379,0,0
"129922","Production",2021-01-28,"USA","Start","380",380,0,0
"129959","Production",2021-01-21,"USA","Start","381",381,1,0
"129960","Production",2021-01-22,"Others","Start","382",382,0,0
"129961","Production",2021-01-22,"Others","Start","383",383,0,0
"129962","Production",2021-01-25,"Others","Start","384",384,0,0
"129963","Production",2021-01-25,"Others","Start","385",385,0,0
"129979","Production",2021-01-28,"Others","Start","386",386,0,0
"129980","Production",2021-01-28,"Others","Start","387",387,0,0
"129981","Production",2021-01-27,"USA","Start","388",388,0,0
"129982","Production",2021-01-27,"USA","Start","389",389,0,0
"129999","Production",2021-01-27,"USA","Start","390",390,0,0
"130000","Production",2021-01-27,"Others","Start","391",391,0,0
"130001","Production",2021-01-27,"Others","Start","392",392,0,0
"130019","Production",2021-01-29,"Others","Start","393",393,1,0
"130039","Production",2021-01-29,"Others","Start","394",394,1,0
"130040","Production",2021-01-29,"Others","Start","395",395,1,0
"130059","Production",2021-01-28,"Others","Start","396",396,5,0
"130079","Production",2021-01-07,"USA","Start","397",397,1,0
"130080","Production",2021-01-21,"USA","Start","398",398,7,0
"130081","Production",2021-01-21,"USA","Start","399",399,7,0
"130082","Production",2021-01-22,"USA","Start","400",400,5,0
"130099","Production",2021-01-28,"Others","Start","401",401,1,0
"130100","Production",2021-01-22,"Others","Start","402",402,6,0
"130119","Production",2021-01-25,"Others","Start","403",403,0,0
"130120","Production",2021-01-25,"Others","Start","404",404,0,0
"130139","Production",2021-01-26,"Others","Start","405",405,0,0
"130140","Production",2021-01-27,"Others","Start","406",406,0,0
"130159","Production",2021-01-18,"USA","Start","407",407,0,0
"130179","Production",2021-01-29,"Others","Start","408",408,0,0
"130199","Production",2021-01-28,"Others","Start","409",409,0,0
"130200","Production",2021-01-28,"Others","Start","410",410,0,0
"130201","Production",2021-01-29,"Others","Start","411",411,0,0
"130202","Production",2021-01-18,"USA","Start","412",412,0,0
"130220","Production",2021-01-25,"USA","Start","413",413,0,0
"130239","Production",2021-01-28,"USA","Start","414",414,0,0
"130259","Production",2021-01-29,"USA","Start","415",415,0,0
"130279","Production",2021-01-29,"USA","Start","416",416,0,0
"130280","Production",2021-01-29,"USA","Start","417",417,0,0
"130299","Production",2021-01-28,"USA","Start","418",418,2,0
"130300","Production",2021-01-29,"USA","Start","419",419,2,0
"130301","Production",2021-01-29,"USA","Start","420",420,2,0
"130319","Production",2021-02-11,"USA","Start","421",421,17,0
"130320","Production",2021-01-27,"USA","Start","422",422,32,0
"130321","Production",2021-01-27,"USA","Start","423",423,32,0
"130340","Production",2021-01-27,"Canada","Start","424",424,32,0
"130341","Production",2021-01-27,"Canada","Start","425",425,32,0
"130359","Production",2021-01-27,"Others","Start","426",426,5,0
"130379","Production",2021-02-01,"USA","Start","427",427,0,0
"130380","Production",2021-02-01,"USA","Start","428",428,0,0
"130381","Production",2021-02-01,"USA","Start","429",429,0,0
"130382","Production",2021-02-01,"USA","Start","430",430,0,0
"130399","Production",2021-01-14,"Others","Start","431",431,8,0
"130400","Production",2021-01-20,"Others","Start","432",432,1,0
"130401","Production",2021-01-21,"Others","Start","433",433,1,0
"130402","Production",2021-01-25,"Others","Start","434",434,2,0
"130403","Production",2021-01-28,"Others","Start","435",435,1,0
"130419","Production",2021-01-21,"Others","Start","436",436,2,0
"130439","Production",2021-01-29,"USA","Start","437",437,0,0
"130440","Production",2021-01-29,"USA","Start","438",438,0,0
"130459","Production",2021-01-28,"USA","Start","439",439,1,0
"130460","Production",2021-01-28,"USA","Start","440",440,1,0
"130461","Production",2021-01-28,"USA","Start","441",441,1,0
"130462","Production",2021-01-28,"USA","Start","442",442,1,0
"130479","Production",2021-01-27,"Others","Start","443",443,5,0
"130499","Production",2021-02-02,"USA","Start","444",444,0,0
"130500","Production",2021-02-02,"USA","Start","445",445,0,0
"130501","Production",2021-02-02,"USA","Start","446",446,0,0
"130502","Production",2021-02-02,"USA","Start","447",447,0,0
"130503","Production",2021-02-02,"USA","Start","448",448,0,0
"130519","Production",2021-02-01,"Others","Start","449",449,1,0
"130520","Production",2021-02-01,"Others","Start","450",450,1,0
"130539","Production",2021-01-29,"Others","Start","451",451,4,0
"130559","Production",2021-01-29,"Others","Start","452",452,4,0
"130560","Production",2021-01-29,"Others","Start","453",453,4,0
"130561","Production",2021-01-29,"Others","Start","454",454,4,0
"130562","Production",2021-01-29,"Others","Start","455",455,4,0
"130579","Production",2021-02-01,"Others","Start","456",456,1,0
"130580","Production",2021-02-01,"Others","Start","457",457,1,0
"130599","Production",2021-01-28,"Others","Start","458",458,0,0
"130600","Production",2021-01-28,"Others","Start","459",459,0,0
"130619","Production",2021-01-21,"USA","Start","460",460,2,0
"130620","Production",2021-02-01,"USA","Start","461",461,0,0
"130621","Production",2021-02-01,"USA","Start","462",462,0,0
"130622","Production",2021-02-01,"USA","Start","463",463,0,0
"130623","Production",2021-02-01,"USA","Start","464",464,0,0
"130624","Production",2021-01-22,"USA","Start","465",465,2,0
"130625","Production",2021-01-22,"USA","Start","466",466,2,0
"130626","Production",2021-01-27,"USA","Start","467",467,2,0
"130627","Production",2021-01-27,"USA","Start","468",468,2,0
"130628","Production",2021-01-27,"USA","Start","469",469,2,0
"130629","Production",2021-01-29,"Others","Start","470",470,1,0
"130639","Production",2021-01-27,"USA","Start","471",471,2,0
"130640","Production",2021-02-01,"Others","Start","472",472,1,0
"130641","Production",2021-01-27,"USA","Start","473",473,2,0
"130642","Production",2021-01-27,"USA","Start","474",474,2,0
"130643","Production",2021-01-28,"USA","Start","475",475,2,0
"130644","Production",2021-01-29,"USA","Start","476",476,2,0
"130659","Production",2021-02-01,"Others","Start","477",477,1,0
"130660","Production",2021-02-01,"Others","Start","478",478,1,0
"130679","Production",2021-01-28,"USA","Start","479",479,1,0
