"Stec ID","Destination","Throughput time","Trace length"
"130941","USA",4,3
"130942","USA",4,3
"130943","Others",0,2
"130959","USA",0,2
"130960","USA",0,2
"130961","USA",0,2
"130962","USA",0,2
"130963","USA",0,2
"130979","Others",2,2
"130980","Others",2,2
"130999","USA",2,2
"131019","USA",1,2
"131020","USA",1,2
"131021","USA",1,2
"131022","USA",1,2
"131023","USA",1,2
"131024","USA",1,2
"131025","USA",1,2
"131026","USA",1,2
"131027","USA",1,2
"131028","USA",1,2
"131029","USA",1,2
"131030","USA",1,2
"131031","USA",0,2
"131032","USA",1,2
"131033","USA",1,2
"131034","USA",1,2
"131035","USA",1,2
"131036","USA",1,2
"131037","USA",1,2
"131038","USA",1,2
"131039","USA",1,2
"131040","USA",1,2
"131041","USA",1,2
"131042","USA",1,2
"131043","USA",1,2
"131044","USA",1,2
"131045","USA",1,2
"131046","USA",1,2
"131047","USA",1,2
"131048","USA",1,2
"131049","USA",1,2
"131050","USA",1,2
"131051","USA",1,2
"131052","USA",1,2
"131059","USA",1,2
"131060","USA",1,2
"131061","USA",1,2
"131062","USA",1,2
"131063","USA",1,2
"131064","USA",1,2
"131065","USA",1,2
"131066","USA",1,2
"131067","USA",0,2
"131068","USA",0,2
"131069","USA",0,2
"131070","USA",0,2
"131071","USA",0,2
"131072","USA",0,2
"131073","USA",0,2
"131074","USA",0,2
"131075","USA",0,2
"131076","USA",0,2
"131077","USA",0,2
"131078","USA",0,2
"131079","USA",0,2
"131080","USA",0,2
"131081","USA",0,2
"131099","USA",5,3
"131100","USA",1,2
"131101","USA",1,2
"131102","USA",1,2
"131103","USA",1,2
"131104","USA",1,2
"131119","USA",1,2
"131120","USA",1,2
"131121","USA",1,2
"131122","USA",1,2
"131123","USA",1,2
"131124","USA",1,2
"131125","USA",1,2
"131126","USA",1,2
"131127","Others",2,2
"131140","USA",0,2
"131159","USA",0,2
"131160","USA",0,2
"131161","USA",0,2
"131179","Others",1,2
"131199","USA",1,2
"131200","Others",1,2
"131219","Others",0,2
"131239","Canada",0,2
"131240","USA",0,2
"131241","USA",0,2
"131242","Others",0,2
"131243","Others",0,2
"131259","Others",0,2
"131260","Others",0,2
"131279","USA",0,2
"131299","Others",0,2
"131319","USA",2,2
"131339","USA",0,2
"131359","USA",0,2
"131360","Canada",4,2
"131379","USA",0,2
"131380","USA",0,2
"131381","USA",0,2
"131419","USA",1,2
"131420","Others",1,2
"131421","Others",1,2
"131422","USA",1,2
"131423","Others",1,2
"131439","Others",1,2
"131440","Others",1,2
"131441","Others",1,2
"131459","Others",0,2
"131460","Others",0,2
"131461","Others",0,2
"131462","Others",0,2
"131479","Canada",1,2
"131480","Canada",1,2
"131499","Others",1,2
"131500","USA",1,2
"131501","Canada",1,2
"131519","Canada",1,2
"131520","USA",1,2
"131521","USA",1,2
"131539","USA",4,2
"131540","Others",4,2
"131541","USA",1,2
"131542","USA",3,2
"131559","Others",1,2
"131579","Others",3,2
"131580","USA",1,2
"131581","USA",1,2
"131582","USA",1,2
"131583","USA",1,2
"131584","USA",1,2
"131599","USA",4,2
"131600","USA",4,2
"131601","USA",1,2
"131619","USA",1,2
"131620","USA",1,2
"131621","USA",1,2
"131639","USA",1,2
"131640","USA",1,2
"131641","USA",1,2
"131642","USA",1,2
"131659","USA",0,2
"131660","USA",0,2
"131661","USA",0,2
"131662","USA",0,2
"131663","USA",0,2
"131664","USA",0,2
"131665","USA",0,2
"131666","USA",0,2
"131667","USA",0,2
"131668","USA",0,2
"131679","Others",2,2
"131680","Others",0,2
"131681","Canada",3,2
"131699","Canada",4,2
"131700","Others",3,2
"131701","Others",3,2
"131719","Others",2,2
"131720","Others",0,2
"131721","Others",0,2
"131722","Canada",2,2
"131723","USA",3,2
"131724","Canada",2,2
"131725","Others",2,2
"131726","Others",0,2
"131727","Canada",2,2
"131728","Canada",2,2
"131739","Others",1,2
"131740","Others",1,2
"131741","Others",2,2
"131742","Canada",2,2
"131743","USA",3,2
"131744","Canada",1,2
"131745","Others",1,2
"131746","Others",1,2
"131747","USA",1,2
"131748","Others",2,2
"131749","Canada",2,2
"131750","USA",2,2
"131751","Others",2,2
"131752","Others",4,2
"131753","USA",1,2
"131759","USA",0,2
"131779","USA",0,2
"131780","USA",0,2
"131781","USA",0,2
"131782","Others",1,2
"131783","Others",1,2
"131784","USA",1,2
"131785","USA",1,2
"131786","USA",1,2
"131787","USA",1,2
"131788","Others",1,2
