"Stec ID","Activity","Start datetime","Destination","Status","Activity instance"
142162,"Test","2021-10-06","USA","Start",22197
142163,"Test","2021-10-07","USA","Start",22198
142164,"Test","2021-10-07","USA","Start",22199
142165,"Test","2021-10-07","USA","Start",22200
142166,"Test","2021-10-07","USA","Start",22201
142167,"Test","2021-10-07","USA","Start",22202
142168,"Test","2021-10-07","USA","Start",22203
142169,"Test","2021-10-09","USA","Start",22204
142170,"Test","2021-10-09","USA","Start",22205
142171,"Test","2021-10-10","USA","Start",22206
142172,"Test","2021-10-08","USA","Start",22207
142173,"Test","2021-10-01","Others","Start",22208
142174,"Test","2021-10-01","Others","Start",22209
142175,"Test","2021-10-05","Others","Start",22210
142176,"Test","2021-10-07","Others","Start",22211
142177,"Test","2021-10-08","Others","Start",22212
142178,"Test","2021-10-08","Others","Start",22213
142179,"Test","2021-10-08","Others","Start",22214
142180,"Test","2021-10-08","Others","Start",22215
142181,"Test","2021-10-08","Others","Start",22216
142182,"Test","2021-10-08","Others","Start",22217
142183,"Test","2021-10-08","Others","Start",22218
142184,"Test","2021-10-09","USA","Start",22219
142185,"Test","2021-10-09","Others","Start",22220
142186,"Test","2021-10-08","Others","Start",22221
142187,"Test","2021-10-08","Others","Start",22222
142188,"Test","2021-10-08","Others","Start",22223
142189,"Test","2021-10-08","Others","Start",22224
142190,"Test","2021-10-11","USA","Start",22225
142191,"Test","2021-10-11","USA","Start",22226
142192,"Test","2021-10-05","Others","Start",22227
142193,"Test","2021-10-06","Others","Start",22228
142194,"Test","2021-10-06","Others","Start",22229
142195,"Test","2021-10-06","Others","Start",22230
142196,"Test","2021-10-07","Others","Start",22231
142197,"Test","2021-10-07","Others","Start",22232
142198,"Test","2021-10-07","Others","Start",22233
142199,"Test","2021-10-07","Others","Start",22234
142200,"Test","2021-10-08","Others","Start",22235
142201,"Test","2021-10-08","Others","Start",22236
142202,"Test","2021-10-08","Others","Start",22237
142203,"Test","2021-10-08","Others","Start",22238
142204,"Test","2021-10-08","Others","Start",22239
142205,"Test","2021-10-07","USA","Start",22240
142206,"Test","2021-10-07","USA","Start",22241
142207,"Test","2021-10-07","Others","Start",22242
142208,"Test","2021-10-07","Others","Start",22243
142209,"Test","2021-10-09","USA","Start",22244
142210,"Test","2021-10-09","Others","Start",22245
142211,"Test","2021-10-09","Others","Start",22246
142212,"Test","2021-10-11","USA","Start",22247
142213,"Test","2021-10-11","USA","Start",22248
142214,"Test","2021-10-11","USA","Start",22249
142215,"Test","2021-10-12","Others","Start",22250
142216,"Test","2021-10-12","Others","Start",22251
142217,"Test","2021-10-12","USA","Start",22252
142218,"Test","2021-10-12","Others","Start",22253
142219,"Test","2021-10-12","Others","Start",22254
142220,"Test","2021-10-12","Others","Start",22255
142221,"Test","2021-10-09","Others","Start",22256
142222,"Test","2021-10-09","Others","Start",22257
142223,"Test","2021-10-09","USA","Start",22258
142224,"Test","2021-10-09","USA","Start",22259
142225,"Test","2021-10-06","Others","Start",22260
142226,"Test","2021-10-09","Others","Start",22261
142227,"Test","2021-10-09","USA","Start",22262
142228,"Test","2021-10-09","Others","Start",22263
142229,"Test","2021-10-09","Others","Start",22264
142230,"Test","2021-10-12","USA","Start",22265
142231,"Test","2021-10-12","USA","Start",22266
142232,"Test","2021-10-12","Others","Start",22267
142233,"Test","2021-10-12","USA","Start",22268
142234,"Test","2021-10-11","Others","Start",22269
142235,"Test","2021-10-11","USA","Start",22270
142236,"Test","2021-10-11","Others","Start",22271
142237,"Test","2021-10-11","Others","Start",22272
142238,"Test","2021-10-11","Others","Start",22273
142239,"Test","2021-10-11","Others","Start",22274
142240,"Test","2021-10-11","Others","Start",22275
142241,"Test","2021-10-11","Others","Start",22276
142242,"Test","2021-10-11","Others","Start",22277
142243,"Test","2021-10-11","Others","Start",22278
142244,"Test","2021-10-11","Others","Start",22279
142245,"Test","2021-10-12","Others","Start",22280
142246,"Test","2021-10-12","Others","Start",22281
142247,"Test","2021-10-07","USA","Start",22282
142248,"Test","2021-10-08","USA","Start",22283
142249,"Test","2021-10-09","Others","Start",22284
142250,"Test","2021-10-09","USA","Start",22285
142251,"Test","2021-10-09","Others","Start",22286
142252,"Test","2021-10-12","USA","Start",22287
142253,"Test","2021-10-12","Others","Start",22288
142254,"Test","2021-10-12","USA","Start",22289
142255,"Test","2021-10-12","USA","Start",22290
142256,"Test","2021-10-12","USA","Start",22291
142257,"Test","2021-10-07","USA","Start",22292
142258,"Test","2021-10-13","Others","Start",22293
142259,"Test","2021-10-13","Others","Start",22294
142260,"Test","2021-10-13","Others","Start",22295
142261,"Test","2021-10-13","Others","Start",22296
142262,"Test","2021-10-13","Others","Start",22297
142263,"Test","2021-10-12","Others","Start",22298
142264,"Test","2021-10-12","Others","Start",22299
142265,"Test","2021-10-12","USA","Start",22300
142266,"Test","2021-09-03","Others","Start",22301
142267,"Test","2021-09-03","USA","Start",22302
142268,"Test","2021-09-03","USA","Start",22303
142269,"Test","2021-09-08","Canada","Start",22304
142270,"Test","2021-09-08","USA","Start",22305
142271,"Test","2021-09-08","USA","Start",22306
142272,"Test","2021-09-08","USA","Start",22307
142273,"Test","2021-09-08","USA","Start",22308
142274,"Test","2021-09-08","USA","Start",22309
142275,"Test","2021-09-15","USA","Start",22310
142276,"Test","2021-09-15","USA","Start",22311
142277,"Test","2021-09-17","USA","Start",22312
142278,"Test","2021-09-17","USA","Start",22313
142279,"Test","2021-09-17","USA","Start",22314
142280,"Test","2021-09-17","USA","Start",22315
142281,"Test","2021-09-21","USA","Start",22316
142282,"Test","2021-09-21","USA","Start",22317
142283,"Test","2021-09-21","USA","Start",22318
142284,"Test","2021-09-24","USA","Start",22319
142285,"Test","2021-09-10","USA","Start",22320
142286,"Test","2021-10-13","USA","Start",22321
142287,"Test","2021-10-13","USA","Start",22322
142288,"Test","2021-10-12","Others","Start",22323
142289,"Test","2021-10-12","Others","Start",22324
142290,"Test","2021-10-13","Others","Start",22325
142291,"Test","2021-10-13","Others","Start",22326
142292,"Test","2021-10-13","Others","Start",22327
142293,"Test","2021-10-13","Others","Start",22328
142294,"Test","2021-10-13","Others","Start",22329
142295,"Test","2021-10-13","Others","Start",22330
142296,"Test","2021-10-13","USA","Start",22331
142297,"Test","2021-10-13","USA","Start",22332
142298,"Test","2021-10-13","USA","Start",22333
142299,"Test","2021-10-13","Others","Start",22334
142300,"Test","2021-10-13","Others","Start",22335
142301,"Test","2021-10-12","Others","Start",22336
142302,"Test","2021-10-12","Others","Start",22337
142303,"Test","2021-10-12","USA","Start",22338
142304,"Test","2021-10-13","Others","Start",22339
142305,"Test","2021-10-13","USA","Start",22340
142306,"Test","2021-10-13","Others","Start",22341
142307,"Test","2021-10-13","USA","Start",22342
142308,"Test","2021-10-13","USA","Start",22343
142309,"Test","2021-10-13","USA","Start",22344
142310,"Test","2021-10-13","USA","Start",22345
142311,"Test","2021-10-13","USA","Start",22346
142312,"Test","2021-10-13","USA","Start",22347
142313,"Test","2021-10-10","Others","Start",22348
142314,"Test","2021-10-10","Others","Start",22349
142315,"Test","2021-10-07","USA","Start",22350
142316,"Test","2021-10-07","USA","Start",22351
142317,"Test","2021-10-07","USA","Start",22352
142318,"Test","2021-10-08","USA","Start",22353
142319,"Test","2021-10-08","USA","Start",22354
142320,"Test","2021-10-08","USA","Start",22355
142321,"Test","2021-10-08","USA","Start",22356
142322,"Test","2021-10-13","USA","Start",22357
142323,"Test","2021-10-13","USA","Start",22358
142324,"Test","2021-10-12","USA","Start",22359
142325,"Test","2021-10-12","USA","Start",22360
142326,"Test","2021-10-12","USA","Start",22361
142327,"Test","2021-10-12","Others","Start",22362
142328,"Test","2021-10-12","Others","Start",22363
142329,"Test","2021-10-12","Others","Start",22364
142330,"Test","2021-10-11","Others","Start",22365
142331,"Test","2021-10-11","Others","Start",22366
142332,"Test","2021-10-11","Others","Start",22367
142333,"Test","2021-10-11","Others","Start",22368
142334,"Test","2021-10-13","USA","Start",22369
142335,"Test","2021-10-13","USA","Start",22370
142336,"Test","2021-10-12","USA","Start",22371
142337,"Test","2021-10-12","USA","Start",22372
142338,"Test","2021-10-12","USA","Start",22373
142339,"Test","2021-10-12","USA","Start",22374
142340,"Test","2021-10-13","USA","Start",22375
142341,"Test","2021-10-12","Others","Start",22376
142342,"Test","2021-10-12","Others","Start",22377
142343,"Test","2021-10-12","Others","Start",22378
142344,"Test","2021-10-12","Others","Start",22379
142345,"Test","2021-10-13","Others","Start",22380
142346,"Test","2021-10-14","Others","Start",22381
142347,"Test","2021-10-14","USA","Start",22382
142348,"Test","2021-10-14","Others","Start",22383
142349,"Test","2021-10-14","Others","Start",22384
142350,"Test","2021-10-14","USA","Start",22385
142351,"Test","2021-10-14","Others","Start",22386
142352,"Test","2021-10-14","Others","Start",22387
142353,"Test","2021-09-28","USA","Start",22388
142354,"Test","2021-09-28","USA","Start",22389
142355,"Test","2021-09-28","USA","Start",22390
142356,"Test","2021-09-28","USA","Start",22391
142357,"Test","2021-10-13","Others","Start",22392
142358,"Test","2021-10-05","Others","Start",22393
142359,"Test","2021-10-05","Others","Start",22394
142360,"Test","2021-10-06","Others","Start",22395
142361,"Test","2021-10-07","Others","Start",22396
142362,"Test","2021-10-08","Others","Start",22397
142363,"Test","2021-10-11","Others","Start",22398
142366,"Test","2021-10-01","Others","Start",22399
142367,"Test","2021-10-05","USA","Start",22400
142368,"Test","2021-10-05","USA","Start",22401
142369,"Test","2021-10-07","USA","Start",22402
142370,"Test","2021-10-07","Others","Start",22403
142371,"Test","2021-10-08","USA","Start",22404
142372,"Test","2021-10-14","Others","Start",22405
142373,"Test","2021-10-14","Others","Start",22406
142374,"Test","2021-10-14","Others","Start",22407
142375,"Test","2021-10-14","Others","Start",22408
142376,"Test","2021-10-13","USA","Start",22409
142377,"Test","2021-10-14","Others","Start",22410
142378,"Test","2021-10-14","USA","Start",22411
142379,"Test","2021-10-13","USA","Start",22412
142380,"Test","2021-10-14","USA","Start",22413
142381,"Test","2021-10-12","Others","Start",22414
142382,"Test","2021-10-13","Others","Start",22415
142383,"Test","2021-10-13","Others","Start",22416
142384,"Test","2021-10-11","USA","Start",22417
142385,"Test","2021-10-11","USA","Start",22418
142386,"Test","2021-10-12","Canada","Start",22419
142387,"Test","2021-10-12","Canada","Start",22420
142388,"Test","2021-10-13","USA","Start",22421
142389,"Test","2021-10-13","USA","Start",22422
142390,"Test","2021-10-13","USA","Start",22423
142391,"Test","2021-10-13","USA","Start",22424
142392,"Test","2021-10-13","USA","Start",22425
142393,"Test","2021-10-13","USA","Start",22426
142394,"Test","2021-10-13","USA","Start",22427
142395,"Test","2021-10-13","USA","Start",22428
142396,"Test","2021-10-14","USA","Start",22429
142397,"Test","2021-10-14","USA","Start",22430
142398,"Test","2021-10-14","USA","Start",22431
142399,"Test","2021-10-14","USA","Start",22432
142400,"Test","2021-10-14","USA","Start",22433
142401,"Test","2021-09-29","USA","Start",22434
142402,"Test","2021-10-07","USA","Start",22435
142403,"Test","2021-10-07","USA","Start",22436
142404,"Test","2021-10-13","USA","Start",22437
142405,"Test","2021-10-13","USA","Start",22438
142406,"Test","2021-10-07","USA","Start",22439
142407,"Test","2021-10-15","Others","Start",22440
142408,"Test","2021-10-14","USA","Start",22441
142409,"Test","2021-10-15","Canada","Start",22442
142410,"Test","2021-10-15","USA","Start",22443
142411,"Test","2021-10-15","USA","Start",22444
142412,"Test","2021-10-15","Others","Start",22445
142413,"Test","2021-10-15","USA","Start",22446
142414,"Test","2021-10-15","Others","Start",22447
142415,"Test","2021-10-15","Others","Start",22448
142416,"Test","2021-10-15","Others","Start",22449
142417,"Test","2021-10-15","Others","Start",22450
142418,"Test","2021-10-15","Others","Start",22451
142419,"Test","2021-10-15","Others","Start",22452
142420,"Test","2021-10-15","Others","Start",22453
142421,"Test","2021-10-15","Others","Start",22454
142422,"Test","2021-10-15","USA","Start",22455
142423,"Test","2021-10-14","Others","Start",22456
142424,"Test","2021-10-14","Others","Start",22457
142425,"Test","2021-09-16","USA","Start",22458
142426,"Test","2021-09-22","USA","Start",22459
142427,"Test","2021-09-22","USA","Start",22460
142428,"Test","2021-09-22","USA","Start",22461
142429,"Test","2021-09-22","USA","Start",22462
142430,"Test","2021-09-22","USA","Start",22463
142431,"Test","2021-09-22","USA","Start",22464
142432,"Test","2021-09-22","USA","Start",22465
142433,"Test","2021-10-06","Others","Start",22466
142434,"Test","2021-10-06","Others","Start",22467
142435,"Test","2021-09-22","USA","Start",22468
142436,"Test","2021-09-22","USA","Start",22469
142437,"Test","2021-10-06","USA","Start",22470
142438,"Test","2021-10-06","USA","Start",22471
142439,"Test","2021-10-07","Others","Start",22472
142440,"Test","2021-10-06","USA","Start",22473
142441,"Test","2021-10-06","USA","Start",22474
142442,"Test","2021-10-07","Others","Start",22475
142443,"Test","2021-10-08","Others","Start",22476
142444,"Test","2021-10-08","Others","Start",22477
142445,"Test","2021-10-08","Others","Start",22478
142446,"Test","2021-10-08","Others","Start",22479
142447,"Test","2021-10-09","USA","Start",22480
142448,"Test","2021-10-09","Others","Start",22481
142449,"Test","2021-10-09","Others","Start",22482
142450,"Test","2021-10-09","Others","Start",22483
142451,"Test","2021-10-09","Others","Start",22484
142452,"Test","2021-10-09","Others","Start",22485
142453,"Test","2021-10-12","USA","Start",22486
142454,"Test","2021-10-12","USA","Start",22487
142455,"Test","2021-10-12","Others","Start",22488
142456,"Test","2021-10-12","Others","Start",22489
142457,"Test","2021-10-13","Others","Start",22490
142458,"Test","2021-10-13","USA","Start",22491
142459,"Test","2021-10-13","USA","Start",22492
142460,"Test","2021-10-13","USA","Start",22493
142461,"Test","2021-10-13","Others","Start",22494
142481,"Test","2021-10-15","USA","Start",22495
142482,"Test","2021-10-17","Others","Start",22496
142483,"Test","2021-10-17","Others","Start",22497
142484,"Test","2021-10-16","Others","Start",22498
142485,"Test","2021-10-16","Others","Start",22499
142486,"Test","2021-10-16","Others","Start",22500
142487,"Test","2021-10-16","Others","Start",22501
142488,"Test","2021-10-17","Others","Start",22502
142489,"Test","2021-10-16","Others","Start",22503
142490,"Test","2021-10-16","Others","Start",22504
142491,"Test","2021-10-14","USA","Start",22505
142492,"Test","2021-10-15","USA","Start",22506
142493,"Test","2021-10-16","USA","Start",22507
142494,"Test","2021-10-16","USA","Start",22508
142495,"Test","2021-10-16","USA","Start",22509
142496,"Test","2021-10-16","USA","Start",22510
142497,"Test","2021-10-17","USA","Start",22511
142498,"Test","2021-10-14","USA","Start",22512
142499,"Test","2021-10-14","USA","Start",22513
142500,"Test","2021-10-14","Others","Start",22514
142501,"Test","2021-10-14","Others","Start",22515
142502,"Test","2021-10-15","Others","Start",22516
142503,"Test","2021-10-15","Others","Start",22517
142504,"Test","2021-10-15","Others","Start",22518
142505,"Test","2021-10-13","Others","Start",22519
142506,"Test","2021-10-15","Others","Start",22520
142507,"Test","2021-10-16","Others","Start",22521
142508,"Test","2021-10-16","USA","Start",22522
142509,"Test","2021-10-16","USA","Start",22523
142510,"Test","2021-10-16","USA","Start",22524
142511,"Test","2021-10-16","USA","Start",22525
142512,"Test","2021-10-16","Others","Start",22526
142513,"Test","2021-10-16","Canada","Start",22527
142514,"Test","2021-10-16","Others","Start",22528
